kor,eng
주판,abacus
아코디언,"accordion, piano accordion, squeeze box"
도토리,acorn
기타,acoustic guitar
카멜레온,"African chameleon, Chamaeleo chamaeleon"
악어,"African crocodile, Nile crocodile, Crocodylus niloticus"
코끼리,"African elephant, Loxodonta africana"
비행기,airliner
구급차,ambulance
백로,"American egret, great white heron, Egretta albus"
랍스터,"American lobster, Northern lobster, Maine lobster, Homarus americanus"
개미,"ant, emmet, pismire"
앞치마,apron
낙타,"Arabian camel, dromedary, Camelus dromedarius"
아르마딜로,armadillo
쓰레기통,"ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin"
백팩,"backpack, back pack, knapsack, packsack, rucksack, haversack"
오소리,badger
베이글,"bagel, beigel"
독수리,"bald eagle, American eagle, Haliaeetus leucocephalus"
바나나,banana
일회용밴드(대일밴드),Band Aid
난간,"bannister, banister, balustrade, balusters, handrail"
이발소간판,barbershop
야구공,baseball
농구공,basketball
등대,"beacon, lighthouse, beacon light, pharos"
비커,beaker
꿀벌,bee
병맥주,beer bottle
맥주잔,beer glass
파프리카,bell pepper
2인용자전거,"bicycle-built-for-two, tandem bicycle, tandem"
여성수영복(비키니형),"bikini, two-piece"
파일바인더,"binder, ring-binder"
쌍안경,"binoculars, field glasses, opera glasses"
거미,"black and gold garden spider, Argiope aurantia"
봅슬레이,"bobsled, bobsleigh, bob"
책장,bookcase
병뚜껑,bottlecap
활,bow
브로콜리,broccoli
빗자루,broom
곰,"brown bear, bruin, Ursus arctos"
고속열차,"bullet train, bullet"
부리또,burrito
택시,"cab, hack, taxi, taxicab"
가마솥,"caldron, cauldron"
병따개,"can opener, tin opener"
양초,"candle, taper, wax light"
대포,cannon
카누,canoe
타이어/휠,car wheel
카디건,cardigan
회전목마,"carousel, carrousel, merry-go-round, roundabout, whirligig"
현금인출기,"cash machine, cash dispenser, automated teller machine, automatic teller machine, automated teller, automatic teller, ATM"
카세트테이프,cassette
성(Castle),castle
CD플레이어,CD player
첼로,"cello, violoncello"
스마트폰,"cellular telephone, cellular phone, cellphone, cell, mobile phone"
지네,centipede
전기톱,"chain saw, chainsaw"
햄버거,cheeseburger
치타,"cheetah, chetah, Acinonyx jubatus"
서랍장,"chiffonier, commode"
종,"chime, bell, gong"
장식장,"china cabinet, china closet"
차우차우,"chow, chow chow"
크리스마스양말,Christmas stocking
교회,"church, church building"
매미,"cicada, cicala"
바퀴벌레,"cockroach, roach"
칵테일쉐이커,cocktail shaker
찻잔,coffee mug
전기포트,coffeepot
책(일반도서)+잡지,comic book
이구아나,"common iguana, iguana, Iguana iguana"
키보드,"computer keyboard, keypad"
소라,conch
화물선,"container ship, containership, container vessel"
산호,coral reef
와인오프너,"corkscrew, bottle screw"
옥수수,corn
트럼펫,"cornet, horn, trumpet, trump"
롱부츠,cowboy boot
카우보이모자,"cowboy hat, ten-gallon hat"
요람,cradle
크레인(기중기),crane
헬멧,crash helmet
아기침대,"crib, cot"
머그컵,cup
데이지,daisy
사무용 책상,desk
데스크탑컴퓨터,desktop computer
가정용유선전화기,"dial telephone, dial phone"
기저귀,"diaper, nappy, napkin"
전자 손목시계,digital watch
식탁,"dining table, board"
식기세척기,"dishwasher, dish washer, dishwashing machine"
잠자리,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk"
드럼,"drum, membranophone, tympan"
드럼스틱,drumstick
덤벨,dumbbell
쇠똥구리,dung beetle
개미핥기,"echidna, spiny anteater, anteater"
스탠드형 선풍기,"electric fan, blower"
전자기타,electric guitar
편지봉투,envelope
커피머신,espresso maker
팩트,face powder
무화과,fig
캐비닛,"file, file cabinet, filing cabinet"
소방차,"fire engine, fire truck"
홍학,flamingo
플룻,"flute, transverse flute"
접이식의자,folding chair
포크레인,forklift
분수,fountain
만년필,fountain pen
다람쥐,"fox squirrel, eastern fox squirrel, Sciurus niger"
불독,French bulldog
프라이팬/후라이팬,"frying pan, frypan, skillet"
코트,fur coat
쓰레기수거차,"garbage truck, dustcart"
방독면,"gasmask, respirator, gas helmet"
가젤,gazelle
판다/팬더,"giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca"
금붕어,"goldfish, Carassius auratus"
골프카트,"golfcart, golf cart"
곤돌라,gondola
고릴라,"gorilla, Gorilla gorilla"
그랜드피아노,"grand piano, grand"
메뚜기,"grasshopper, hopper"
부엉이,"great grey owl, great gray owl, Strix nebulosa"
상어,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias"
온실,"greenhouse, nursery, glasshouse"
고래,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus"
전기그릴,"grille, radiator grille"
원숭이,"guenon, guenon monkey"
머리핀,hair slide
스프레이,hair spray
망치,hammer
햄스터,hamster
헤어드라이어,"hand blower, blow dryer, blow drier, hair dryer, hair drier"
하모니카,"harmonica, mouth organ, harp, mouth harp"
하프,harp
양배추,head cabbage
소라게,hermit crab
하마,"hippopotamus, hippo, river horse, Hippopotamus amphibius"
돼지,"hog, pig, grunter, squealer, Sus scrofa"
마차,"horse cart, horse-cart"
핫도그,"hotdog, hot dog, red hot"
모래시계,hourglass
하이에나,"hyena, hyaena"
북극곰,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus"
아이스크림,"ice cream, icecream"
막대사탕,"ice lolly, lolly, lollipop, popsicle"
코브라,"Indian cobra, Naja naja"
다리미,"iron, smoothing iron"
호박등(할로윈),jack-o'-lantern
지프차,"jeep, landrover"
해파리,jellyfish
티셔츠,"jersey, T-shirt, tee shirt"
퍼즐,jigsaw puzzle
인력거,"jinrikisha, ricksha, rickshaw"
조이스틱,joystick
기모노,kimono
펭귄,"king penguin, Aptenodytes patagonica"
여우,"kit fox, Vulpes macrotis"
무릎보호대,knee pad
코알라,"koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus"
국자,ladle
무당벌레,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle"
스탠드조명,"lampshade, lamp shade"
노트북컴퓨터,"laptop, laptop computer"
잔디깎이,"lawn mower, mower"
레몬,lemon
표범,"leopard, Panthera pardus"
사무용 칼,"letter opener, paper knife, paperknife"
구명보트,lifeboat
라이터,"lighter, light, igniter, ignitor"
리무진,"limousine, limo"
숫사자,"lion, king of beasts, Panthera leo"
라이언피쉬,lionfish
립스틱,"lipstick, lip rouge"
라마,llama
바다거북,"loggerhead, loggerhead turtle, Caretta caretta"
스피커,"loudspeaker, speaker, speaker unit, loudspeaker system, speaker system"
나침반,magnetic compass
까치,magpie
우체통/우편함,"mailbox, letter box"
말티즈,"Maltese dog, Maltese terrier, Maltese"
사마귀,"mantis, mantid"
마림바,"marimba, xylophone"
가면,mask
계량컵,measuring cup
미어캣,"meerkat, mierkat"
마이크,"microphone, mike"
전자레인지,"microwave, microwave oven"
푸들,miniature poodle
승합차(미니밴),minivan
미사일,missile
보울(그릇),mixing bowl
나비,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus"
모니터(모니터 액세서리 포함),monitor
절구,mortar
텐트,mountain tent
마우스,"mouse, computer mouse"
덫,mousetrap
버섯,mushroom
목걸이,necklace
오보에,"oboe, hautboy, hautbois"
오카리나,"ocarina, sweet potato"
파이프오르간,"organ, pipe organ"
타조,"ostrich, Struthio camelus"
수달,otter
산소마스크,oxygen mask
노,"paddle, boat paddle"
붓,paintbrush
잠옷,"pajama, pyjama, pj's, jammies"
팬파이프,"panpipe, pandean pipe, syrinx"
낙하산,"parachute, chute"
평행봉,"parallel bars, bars"
벤치,park bench
주차정산기,parking meter
승용차,"passenger car, coach, carriage"
공작,peacock
펠리컨,pelican
필통,"pencil box, pencil case"
연필깎이,pencil sharpener
향수,"perfume, essence"
베개,pillow
파인애플,"pineapple, ananas"
피자,"pizza, pizza pie"
비닐봉지,plastic bag
식판,plate
오리너구리,"platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus"
폴라로이드 카메라,"Polaroid camera, Polaroid Land camera"
경찰차,"police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria"
석류,pomegranate
고슴도치,"porcupine, hedgehog"
화분,"pot, flowerpot"
전동드릴,power drill
프레첼/프레츨,pretzel
프린터기,printer
복어,"puffer, pufferfish, blowfish, globefish"
레이싱카,"racer, race car, racing car"
테니스라켓,"racket, racquet"
라디에이터,radiator
망원경,"radio telescope, radio reflector"
라디오,"radio, wireless"
디지털카메라,reflex camera
냉장고,"refrigerator, icebox"
리모콘,"remote control, remote"
풍뎅이,rhinoceros beetle
게,"rock crab, Cancer irroratus"
흔들의자,"rocking chair, rocker"
럭비공,rugby ball
사무용 자,"rule, ruler"
"소금,후추통","saltshaker, salt shaker"
샌들,sandal
색소폰,"sax, saxophone"
저울,"scale, weighing machine"
스쿨버스,school bus
드라이버,screwdriver
잠수부,scuba diver
말미잘,"sea anemone, anemone"
성게,sea urchin
재봉틀,sewing machine
바구니(바스켓),shopping basket
쇼핑카트,shopping cart
삽,shovel
커튼,shower curtain
시베리안허스키,Siberian husky
스키,ski
스컹크,"skunk, polecat, wood pussy"
침낭,sleeping bag
문,sliding door
민달팽이,slug
달팽이,snail
제설차,"snowplow, snowplough"
축구공,soccer ball
발목양말,sock
스프,soup bowl
주걱,spatula
스포츠카,"sports car, sport car"
불가사리,"starfish, sea star"
교량(다리),steel arch bridge
청진기,stethoscope
가오리,stingray
스톱워치,"stopwatch, stop watch"
딸기,strawberry
표지판,street sign
소파,"studio couch, day bed"
잠수함,"submarine, pigboat, sub, U-boat"
선글라스,"sunglasses, dark glasses, shades"
니트/스웨터,sweatshirt
그네,swing
주사기,syringe
탁상조명,table lamp
탱크,"tank, army tank, armored combat vehicle, armoured combat vehicle"
주전자/티포트,teapot
곰인형,"teddy, teddy bear"
TV,"television, television system"
테니스공,tennis ball
나무늘보,"three-toed sloth, ai, Bradypus tridactylus"
뱀,"thunder snake, worm snake, Carphophis amoenus"
고양이,tiger cat
호랑이,"tiger, Panthera tigris"
늑대,"timber wolf, grey wolf, gray wolf, Canis lupus"
토스터기,toaster
변기,toilet seat
두루마리휴지,"toilet tissue, toilet paper, bathroom tissue"
가스용 토치,torch
트랙터,tractor
신호등,"traffic light, traffic signal, stoplight"
트레일러,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi"
쟁반/트레이,tray
개구리,"tree frog, tree-frog"
트리케라톱스,triceratops
세발자전거,"tricycle, trike, velocipede"
삼엽충,trilobite
삼각대,tripod
버스,"trolleybus, trolley coach, trackless trolley"
욕조,"tub, vat"
타자기,typewriter keyboard
우산,umbrella
외발자전거,"unicycle, monocycle"
업라이트피아노,"upright, upright piano"
일반청소기,"vacuum, vacuum cleaner"
꽃병,vase
자판기,vending machine
바이올린,"violin, fiddle"
화산,volcano
와플팬,waffle iron
벽시계,wall clock
캥거루,"wallaby, brush kangaroo"
중지갑/반지갑,"wallet, billfold, notecase, pocketbook"
옷장,"wardrobe, closet, press"
전투기,"warplane, military plane"
통돌이세탁기,"washer, automatic washer, washing machine"
물병,water bottle
